"","Date","Period","ID1","ID2"
"241","6/18/21","2","MN33","MN16"
"242","6/18/21","2","MN33","MN31"
"243","6/18/21","2","MN33","MN46"
"244","6/18/21","2","MN16","MN31"
"245","6/18/21","2","MN16","MN46"
"246","6/18/21","2","MN31","MN46"
"247","6/19/21","2","MN17","MN12"
"248","6/19/21","2","MN17","MN28"
"249","6/19/21","2","MN12","MN28"
"250","6/19/21","2","MN13B","MN13A"
"251","6/19/21","2","MN71","MN54"
"252","6/19/21","2","MN29","MN59"
"253","6/19/21","2","MN29","MN40"
"254","6/19/21","2","MN59","MN40"
"255","6/19/21","2","MN18","MN63B"
"256","6/19/21","2","MN18","MN76"
"257","6/19/21","2","MN63B","MN76"
"258","6/19/21","2","MN21","MN20"
"259","6/19/21","2","MN69","MN22"
"260","6/19/21","2","MN69","MN1"
"261","6/19/21","2","MN22","MN1"
"262","6/19/21","2","MN55","MN26"
"263","6/19/21","2","MN55","MN31"
"264","6/19/21","2","MN26","MN31"
"265","6/19/21","2","MN60","MN7"
"266","6/20/21","2","MN17","MN12"
"267","6/20/21","2","MN17","MN28"
"268","6/20/21","2","MN12","MN28"
"269","6/20/21","2","MN13A","MN13B"
"270","6/20/21","2","MN71","MN54"
"271","6/20/21","2","MN29","MN59"
"272","6/20/21","2","MN29","MN40"
"273","6/20/21","2","MN59","MN40"
"274","6/20/21","2","MN63B","MN18"
"275","6/20/21","2","MN63B","MN76"
"276","6/20/21","2","MN18","MN76"
"277","6/20/21","2","MN21","MN20"
"278","6/20/21","2","MN69","MN22"
"279","6/20/21","2","MN56","MN26"
"280","6/20/21","2","MN67","MN23"
"281","6/20/21","2","MN67","MN64"
"282","6/20/21","2","MN67","MN1"
"283","6/20/21","2","MN67","MN55"
"284","6/20/21","2","MN67","MN31"
"285","6/20/21","2","MN23","MN64"
"286","6/20/21","2","MN23","MN1"
"287","6/20/21","2","MN23","MN55"
"288","6/20/21","2","MN23","MN31"
"289","6/20/21","2","MN64","MN1"
"290","6/20/21","2","MN64","MN55"
"291","6/20/21","2","MN64","MN31"
"292","6/20/21","2","MN1","MN55"
"293","6/20/21","2","MN1","MN31"
"294","6/20/21","2","MN55","MN31"
"295","6/20/21","2","MN60","MN7"
"296","6/21/21","2","MN12","MN17"
"297","6/21/21","2","MN12","MN28"
"298","6/21/21","2","MN17","MN28"
"299","6/21/21","2","MN13A","MN13B"
"300","6/21/21","2","MN35","MN8"
"301","6/21/21","2","MN54","MN71"
"302","6/21/21","2","MN29","MN59"
"303","6/21/21","2","MN29","MN40"
"304","6/21/21","2","MN59","MN40"
"305","6/21/21","2","MN63B","MN18"
"306","6/21/21","2","MN20","MN21"
"307","6/21/21","2","MN22","MN69"
"308","6/21/21","2","MN23","MN70"
